 avg_rating,father,grandfather,price,ratings,sum_rating,super_father,title
0,移动硬盘,电脑配件,￥626.37,,,电子配件、智能生活,
0,U盘,电脑配件,￥159.21,,,电子配件、智能生活,
0,存储设备,电脑配件,￥966.95,,,电子配件、智能生活,
0,游戏配件,电脑配件,￥540.36,,,电子配件、智能生活,
0,电脑包,电脑配件,￥371.54,,,电子配件、智能生活,
0,固态硬盘,电脑配件,"￥2,070.53",,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥621.59,,,电子配件、智能生活,
0,U盘,电脑配件,￥965.45,,,电子配件、智能生活,
0,存储设备,电脑配件,"￥1,199.72",,,电子配件、智能生活,
0,游戏配件,电脑配件,"￥2,462.93",,,电子配件、智能生活,
0,电脑包,电脑配件,￥193.56,,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥821.90,,,电子配件、智能生活,
0,移动硬盘,电脑配件,"￥1,429.81",,,电子配件、智能生活,
0,U盘,电脑配件,￥35.30,,,电子配件、智能生活,
0,存储设备,电脑配件,￥379.83,,,电子配件、智能生活,
0,游戏配件,电脑配件,￥517.55,,,电子配件、智能生活,
0,电脑包,电脑配件,￥185.84,,,电子配件、智能生活,
0,键盘,电脑配件,￥688.22,,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥794.27,,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥793.92,,,电子配件、智能生活,
0,U盘,电脑配件,￥66.00,,,电子配件、智能生活,
0,存储设备,电脑配件,"￥1,970.47",,,电子配件、智能生活,
0,游戏配件,电脑配件,￥317.09,,,电子配件、智能生活,
0,键盘,电脑配件,￥640.22,,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥554.21,,,电子配件、智能生活,
0,移动硬盘,电脑配件,"￥1,162.84",,,电子配件、智能生活,
0,U盘,电脑配件,￥89.03,,,电子配件、智能生活,
0,存储设备,电脑配件,￥464.30,,,电子配件、智能生活,
0,游戏配件,电脑配件,￥996.02,,,电子配件、智能生活,
0,键盘,电脑配件,￥267.19,,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥794.27,,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥831.36,,,电子配件、智能生活,
0,U盘,电脑配件,￥77.52,,,电子配件、智能生活,
0,存储设备,电脑配件,￥728.26,,,电子配件、智能生活,
0,游戏配件,电脑配件,￥785.16,,,电子配件、智能生活,
0,鼠标,电脑配件,￥122.81,,,电子配件、智能生活,
0,键盘,电脑配件,￥578.99,,,电子配件、智能生活,
0,固态硬盘,电脑配件,"￥1,505.72",,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥966.95,,,电子配件、智能生活,
0,U盘,电脑配件,￥262.68,,,电子配件、智能生活,
0,存储设备,电脑配件,"￥3,395.07",,,电子配件、智能生活,
0,鼠标,电脑配件,,,,电子配件、智能生活,
0,键盘,电脑配件,"￥1,193.16",,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥289.00,,,电子配件、智能生活,
0,移动硬盘,电脑配件,"￥1,199.72",,,电子配件、智能生活,
0,U盘,电脑配件,￥121.00,,,电子配件、智能生活,
0,存储设备,电脑配件,"￥3,939.77",,,电子配件、智能生活,
0,鼠标,电脑配件,￥104.05,,,电子配件、智能生活,
0,键盘,电脑配件,￥339.00,,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥699.00,,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥379.83,,,电子配件、智能生活,
0,U盘,电脑配件,￥224.00,,,电子配件、智能生活,
0,鼠标,电脑配件,￥96.74,,,电子配件、智能生活,
0,键盘,电脑配件,"￥2,006.63",,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥759.73,,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥464.30,,,电子配件、智能生活,
0,U盘,电脑配件,￥127.60,,,电子配件、智能生活,
0,支架,手机配件,￥464.83,,,电子配件、智能生活,
0,鼠标,电脑配件,￥474.41,,,电子配件、智能生活,
0,键盘,电脑配件,￥693.31,,,电子配件、智能生活,
0,固态硬盘,电脑配件,"￥1,436.01",,,电子配件、智能生活,
0,移动硬盘,电脑配件,"￥3,939.77",,,电子配件、智能生活,
0,U盘,电脑配件,￥44.58,,,电子配件、智能生活,
0,支架,手机配件,￥207.15,,,电子配件、智能生活,
0,鼠标,电脑配件,￥94.90,,,电子配件、智能生活,
0,键盘,电脑配件,￥599.00,,,电子配件、智能生活,
0,固态硬盘,电脑配件,"￥1,025.22",,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥679.95,,,电子配件、智能生活,
0,U盘,电脑配件,￥548.75,,,电子配件、智能生活,
0,支架,手机配件,￥207.73,,,电子配件、智能生活,
0,鼠标,电脑配件,￥232.84,,,电子配件、智能生活,
0,键盘,电脑配件,￥611.82,,,电子配件、智能生活,
0,固态硬盘,电脑配件,"￥1,391.00",,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥690.66,,,电子配件、智能生活,
0,U盘,电脑配件,￥425.83,,,电子配件、智能生活,
0,支架,手机配件,￥172.34,,,电子配件、智能生活,
0,鼠标,电脑配件,￥406.63,,,电子配件、智能生活,
0,键盘,电脑配件,￥405.29,,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥666.05,,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥878.19,,,电子配件、智能生活,
0,U盘,电脑配件,￥79.00,,,电子配件、智能生活,
0,手机耳机,手机配件,￥298.12,,,电子配件、智能生活,
0,支架,手机配件,￥89.11,,,电子配件、智能生活,
0,鼠标,电脑配件,￥208.86,,,电子配件、智能生活,
0,键盘,电脑配件,"￥3,228.09",,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥953.14,,,电子配件、智能生活,
0,移动硬盘,电脑配件,￥759.11,,,电子配件、智能生活,
0,U盘,电脑配件,￥267.93,,,电子配件、智能生活,
0,手机耳机,手机配件,￥228.00,,,电子配件、智能生活,
0,支架,手机配件,￥81.68,,,电子配件、智能生活,
0,鼠标,电脑配件,￥147.13,,,电子配件、智能生活,
0,键盘,电脑配件,￥445.86,,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥499.00,,,电子配件、智能生活,
0,移动硬盘,电脑配件,"￥1,901.12",,,电子配件、智能生活,
0,手机耳机,手机配件,￥59.00,,,电子配件、智能生活,
0,支架,手机配件,￥81.68,,,电子配件、智能生活,
0,鼠标,电脑配件,￥728.00,,,电子配件、智能生活,
0,键盘,电脑配件,￥405.52,,,电子配件、智能生活,
0,固态硬盘,电脑配件,￥442.62,,,电子配件、智能生活,
0,移动硬盘,电脑配件,"￥1,207.79",,,电子配件、智能生活,
0,手机耳机,手机配件,￥148.00,,,电子配件、智能生活,
0,支架,手机配件,￥120.26,,,电子配件、智能生活,
0,鼠标,电脑配件,￥819.02,,,电子配件、智能生活,
0,键盘,电脑配件,"￥1,191.57",,,电子配件、智能生活,
0,固态硬盘,电脑配件,"￥1,139.63",,,电子配件、智能生活,
0,蓝牙耳机,手机配件,￥648.56,,,电子配件、智能生活,
0,手机耳机,手机配件,￥438.80,,,电子配件、智能生活,
0,支架,手机配件,￥34.90,,,电子配件、智能生活,
0,鼠标,电脑配件,￥372.30,,,电子配件、智能生活,
0,键盘,电脑配件,￥602.84,,,电子配件、智能生活,
0,固态硬盘,电脑配件,"￥1,605.23",,,电子配件、智能生活,
0,蓝牙耳机,手机配件,"￥1,246.00",,,电子配件、智能生活,
0,手机耳机,手机配件,￥227.54,,,电子配件、智能生活,
0,支架,手机配件,￥631.09,,,电子配件、智能生活,
0,鼠标,电脑配件,￥79.00,,,电子配件、智能生活,
0,键盘,电脑配件,￥645.20,,,电子配件、智能生活,
0,固态硬盘,电脑配件,"￥4,006.15",,,电子配件、智能生活,
0,蓝牙耳机,手机配件,￥202.66,,,电子配件、智能生活,
0,手机耳机,手机配件,￥306.01,,,电子配件、智能生活,
0,支架,手机配件,￥222.89,,,电子配件、智能生活,
0,鼠标,电脑配件,￥375.20,,,电子配件、智能生活,
0,键盘,电脑配件,￥419.26,,,电子配件、智能生活,
0,存储卡,手机配件,￥114.00,,,电子配件、智能生活,
0,蓝牙耳机,手机配件,"￥1,246.00",,,电子配件、智能生活,
0,手机耳机,手机配件,￥890.90,,,电子配件、智能生活,
0,支架,手机配件,￥204.73,,,电子配件、智能生活,
0,鼠标,电脑配件,￥74.35,,,电子配件、智能生活,
0,键盘,电脑配件,￥730.20,,,电子配件、智能生活,
0,存储卡,手机配件,￥66.59,,,电子配件、智能生活,
0,蓝牙耳机,手机配件,￥200.37,,,电子配件、智能生活,
0,手机耳机,手机配件,￥715.94,,,电子配件、智能生活,
0,支架,手机配件,￥19.90,,,电子配件、智能生活,
0,鼠标,电脑配件,￥719.00,,,电子配件、智能生活,
0,键盘,电脑配件,￥854.88,,,电子配件、智能生活,
0,存储卡,手机配件,￥63.90,,,电子配件、智能生活,
0,蓝牙耳机,手机配件,￥210.10,,,电子配件、智能生活,
0,手机耳机,手机配件,￥129.00,,,电子配件、智能生活,
0,支架,手机配件,￥148.57,,,电子配件、智能生活,
0,鼠标,电脑配件,￥288.00,,,电子配件、智能生活,
0,键盘,电脑配件,￥762.89,,,电子配件、智能生活,
0,存储卡,手机配件,￥449.53,,,电子配件、智能生活,
0,蓝牙耳机,手机配件,"￥1,299.00",,,电子配件、智能生活,
0,手机耳机,手机配件,￥453.35,,,电子配件、智能生活,
0,支架,手机配件,￥74.35,,,电子配件、智能生活,
0,鼠标,电脑配件,￥975.00,,,电子配件、智能生活,
0,键盘,电脑配件,￥796.60,,,电子配件、智能生活,
0,显示器,电脑配件,"￥3,833.47",,,电子配件、智能生活,
0,存储卡,手机配件,￥39.00,,,电子配件、智能生活,
0,蓝牙耳机,手机配件,"￥2,599.00",,,电子配件、智能生活,
